id,mutcd,name,class,speed,lat,lon,first_seen
6.35843E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58816162,-77.51658588,9/22/2023
6.35843E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59049283,-77.51512124,9/22/2023
6.35843E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58812593,-77.51649609,9/22/2023
1.36628E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59151442,-77.51675787,9/22/2023
6.53215E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59114727,-77.51571325,9/22/2023
7.21336E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59050894,-77.51650793,9/22/2023
6.59512E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59089193,-77.51203298,9/22/2023
6.59512E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59094424,-77.51150939,9/22/2023
6.59512E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.5905887,-77.51349128,9/22/2023
6.59512E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59032279,-77.51112222,9/22/2023
1.36939E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59042543,-77.51989981,9/26/2023
2.06847E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59086832,-77.51139525,9/26/2023
4.16526E+15,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.60554618,-77.51838162,7/19/2018
1.85459E+15,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.59969241,-77.51459142,9/25/2025
7.64779E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.60545483,-77.51136885,7/31/2018
2.82055E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.60549671,-77.51150851,8/26/2018
4.78055E+14,R2-1,Speed 30,regulatory--maximum-speed-limit-30--g1,30,37.60557311,-77.51649633,8/24/2018
3.86768E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.60638955,-77.51889881,8/26/2018
6.73818E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.61017021,-77.51332812,9/21/2023
6.73818E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.61110881,-77.51409475,9/21/2023
1.02504E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61218544,-77.51102925,9/21/2023
7.66432E+14,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.61262814,-77.51173642,9/21/2023
8.72555E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.6126812,-77.51601148,9/21/2023
6.39851E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61219738,-77.51932792,9/21/2023
1.02092E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61315937,-77.51683135,9/21/2023
3.16015E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.6150847,-77.51707172,9/21/2023
8.56785E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.62019509,-77.51143163,9/27/2023
8.56785E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.62328006,-77.5125719,9/27/2023
7.46292E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.62245446,-77.51336838,9/27/2023
7.43034E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.61543279,-77.5153923,9/27/2023
7.43034E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.61532991,-77.51536178,9/27/2023
2.35364E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61553777,-77.51591155,9/27/2023
6.99175E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61973499,-77.51210008,9/27/2023
2.84999E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61760975,-77.5146118,9/27/2023
6.45462E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61765933,-77.51845813,9/27/2023
6.45462E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.61875553,-77.51620785,9/27/2023
1.76334E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.62234908,-77.51852991,9/27/2023
2.64426E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.62492132,-77.51221681,9/27/2023
1.49955E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.63076769,-77.51101744,9/27/2023
3.03887E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.62579963,-77.51375044,9/27/2023
